0,CombatZoneResize,375,140,TLResume,,
0,HeartTeleport,320,368,,,
0,HeartMode,1,,,,
0,TLPause,,,,,
0,SET,Loop,5,,,
0,JMPZ,38,$Loop,,,
0,SUB,Loop,$Loop,1,,
0,RND,Time,4,,,
0,MUL,Time,$Time,0.2,,
0,ADD,Time,$Time,0.8,,
0,RND,Jump,4,,,
0,ADD,Jump,$Jump,1,,
0,JMPREL,$Jump,,,,
0,JMPREL,4,,,,
0,JMPREL,8,,,,
0,JMPREL,12,,,,
0,JMPREL,16,,,,
$Time,BoneV,128,257,91,0,240
0,BoneV,128,366,20,0,240
0,BoneV,503,257,91,2,240
0,BoneV,503,366,20,2,240
0,JMPABS,6,,,,
$Time,BoneV,128,257,81,0,240
0,BoneV,128,356,30,0,240
0,BoneV,503,257,81,2,240
0,BoneV,503,356,30,2,240
0,JMPABS,6,,,,
$Time,BoneV,128,257,71,0,240
0,BoneV,128,346,40,0,240
0,BoneV,503,257,71,2,240
0,BoneV,503,346,40,2,240
0,JMPABS,6,,,,
$Time,BoneV,128,257,51,0,210
0,BoneV,128,326,60,0,210
0,BoneV,503,257,51,2,210
0,BoneV,503,326,60,2,210
0.2,JMPABS,6,,,,
2.2,EndAttack,,,,,
